job_id,family,proof_scope,mask_weight,mask_positions,mask_hex,symbolic_payload_bits,assertions,command,status,result,counterexample_id
bch-symbolic-mask-0000,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,0,,00000000000000000000,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0000,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0001,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,0,00000000000000000001,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0001,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0002,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,1,00000000000000000002,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0002,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0003,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,2,00000000000000000004,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0003,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0004,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,3,00000000000000000008,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0004,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0005,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,4,00000000000000000010,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0005,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0006,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,5,00000000000000000020,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0006,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0007,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,6,00000000000000000040,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0007,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0008,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,7,00000000000000000080,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0008,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0009,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,8,00000000000000000100,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0009,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0010,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,9,00000000000000000200,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0010,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0011,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,10,00000000000000000400,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0011,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0012,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,11,00000000000000000800,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0012,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0013,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,12,00000000000000001000,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0013,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0014,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,13,00000000000000002000,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0014,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0015,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,14,00000000000000004000,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0015,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0016,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,15,00000000000000008000,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0016,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0017,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,16,00000000000000010000,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0017,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0018,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,17,00000000000000020000,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0018,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
bch-symbolic-mask-0019,BCH_78_64_T2,arbitrary_symbolic_payload_and_fixed_error_mask,1,18,00000000000000040000,64,data;corrected_codeword;correction_mask;S1_S2_S3_S4;detected;corrected;uncorrectable;latency_0,python3 scripts/gate03r/prove_exact_identity.py --proof-job bch-symbolic-mask-0019,PASS,affine payload cancels from S1..S4; exact locator returns the fixed mask; corrected systematic word equals encode(payload),
