evidence_id,implementation_id,quantity,raw_value,unit,classification,scope,source_report_id,workload_id,derivation,limitations
ev-secded-rtl-combinational-72-64-v1-identity,secded-rtl-combinational-72-64-v1,mathematical_identity,extended-hamming-secded-72-64-v1,id,MEASURED,frozen Gate-02 bytes,,,byte-exact copy from Gate-02 code_id,not physical PPA
ev-secded-rtl-combinational-72-64-v1-physical-ppa,secded-rtl-combinational-72-64-v1,technology_mapped_physical_ppa,UNRESOLVED,,UNRESOLVED,codec standard-cell pilot,,normal-clean-random-v1,none,pinned ORFS flow unavailable
ev-secded-rtl-combinational-72-64-v1-verification-stress,secded-rtl-combinational-72-64-v1,functional_verification_activity,8192,cycles,SIMULATED,verification only,,verification-stress-v1,80/10/10 deterministic trace,prohibited from all primary power and representative-energy fields
ev-hsiao-generated-combinational-72-64-v1-identity,hsiao-generated-combinational-72-64-v1,mathematical_identity,hsiao-secded-72-64-v1,id,MEASURED,frozen Gate-02 bytes,,,byte-exact copy from Gate-02 code_id,not physical PPA
ev-hsiao-generated-combinational-72-64-v1-physical-ppa,hsiao-generated-combinational-72-64-v1,technology_mapped_physical_ppa,UNRESOLVED,,UNRESOLVED,codec standard-cell pilot,,normal-clean-random-v1,none,pinned ORFS flow unavailable
ev-hsiao-generated-combinational-72-64-v1-verification-stress,hsiao-generated-combinational-72-64-v1,functional_verification_activity,8192,cycles,SIMULATED,verification only,,verification-stress-v1,80/10/10 deterministic trace,prohibited from all primary power and representative-energy fields
ev-shortened-bch-78-64-t2-v1-reference-decoder-identity,shortened-bch-78-64-t2-v1-reference-decoder,mathematical_identity,shortened-bch-78-64-t2-v1,id,MEASURED,frozen Gate-02 bytes,,,byte-exact copy from Gate-02 code_id,not physical PPA
ev-shortened-bch-78-64-t2-v1-reference-decoder-physical-ppa,shortened-bch-78-64-t2-v1-reference-decoder,technology_mapped_physical_ppa,UNRESOLVED,,UNRESOLVED,codec standard-cell pilot,,normal-clean-random-v1,none,pinned ORFS flow unavailable
ev-system-storage-energy,SYSTEM_BOUNDARY,sram_controller_scrub_total_system_energy,UNRESOLVED,,UNRESOLVED,system,,,none,"no SRAM macro/model, controller, scrub, or physical adjacency evidence"
ev-contract-clock,COMMON_CONTRACT,pilot_clock_period,10,ns,ASSUMED,Gate-03 feasibility only,,,frozen before candidate synthesis,not a final paper setting
