citation_key,work,venue_year,identifier,authoritative_url,status,used_in_final,claim_supported,verification_note,last_verified_utc
najm1993,Transition Density: A New Measure of Activity in Digital Circuits,IEEE TCAD 1993,10.1109/43.205010,https://doi.org/10.1109/43.205010,DOI_VERIFIED,yes,Activity statistics affect dynamic power,DOI landing metadata and bibliography cross-checked,2026-09-10
najm1994,A Survey of Power Estimation Techniques in VLSI Circuits,IEEE TVLSI 1994,10.1109/92.335013,https://doi.org/10.1109/92.335013,DOI_VERIFIED,yes,Power estimates depend on activity model,DOI landing metadata and bibliography cross-checked,2026-09-10
ghosh2004,Reducing Power Consumption in Memory ECC Checkers,ITC 2004,10.1109/TEST.2004.1387407,https://users.ece.utexas.edu/~touba/research/itc04-mem.pdf,DOI_AND_AUTHOR_COPY_VERIFIED,yes,Closest trace-driven direct Hamming/Hsiao checker-power comparator,Author-hosted paper inspected; title/authors/venue/pages and direct trace comparison checked,2026-09-10
hsiao1970,A Class of Optimal Minimum Odd-Weight-Column SEC-DED Codes,IBM Journal of Research and Development 1970,10.1147/rd.144.0395,https://doi.org/10.1147/rd.144.0395,DOI_VERIFIED,yes,Hsiao code construction,DOI landing metadata and bibliography cross-checked,2026-09-10
reviriego2013,A Method to Construct Low Delay Single Error Correction Codes for Protecting Data Bits Only,IEEE TCAD 2013,10.1109/TCAD.2012.2226585,https://doi.org/10.1109/TCAD.2012.2226585,DOI_VERIFIED,yes,Low-delay ECC design context,DOI landing metadata and bibliography cross-checked,2026-09-10
tripathi2020,Design of SEC-DED and SEC-DED-DAEC Codes of Different Lengths,arXiv 2020,arXiv:2002.07507,https://arxiv.org/abs/2002.07507,PREPRINT_VERIFIED,yes,SECDED/DAEC construction context,arXiv record checked and retained as a preprint,2026-09-10
naseer2008,Parallel Double Error Correcting Code Design to Mitigate Multi-Bit Upsets in SRAMs,ESSCIRC 2008,10.1109/ESSCIRC.2008.4681832,https://doi.org/10.1109/ESSCIRC.2008.4681832,DOI_VERIFIED,yes,Stronger ECC context,DOI landing metadata and bibliography cross-checked,2026-09-10
delbel2014,Improving STT-MRAM Density Through Multibit Error Correction,DATE 2014,10.7873/DATE2014.195,https://doi.org/10.7873/DATE2014.195,DOI_VERIFIED,yes,Memory ECC density tradeoff,DOI landing metadata and bibliography cross-checked,2026-09-10
pajouhi2015,Device/Circuit/Architecture Co-Design of Reliable STT-MRAM,DATE 2015,10.7873/DATE.2015.0145,https://doi.org/10.7873/DATE.2015.0145,DOI_VERIFIED,yes,Memory reliability co-design context,DOI landing metadata and bibliography cross-checked,2026-09-10
wei2020,LAD-ECC: Energy-Efficient ECC Mechanism for GPGPU Register File,DATE 2020,10.23919/DATE48585.2020.9116503,https://doi.org/10.23919/DATE48585.2020.9116503,DOI_VERIFIED,yes,Energy-aware adaptive ECC context,DOI landing metadata and bibliography cross-checked,2026-09-10
lee2022,Stealth ECC: A Data-Width Aware Adaptive ECC Scheme for DRAM Error Resilience,DATE 2022,10.23919/DATE54114.2022.9774775,https://doi.org/10.23919/DATE54114.2022.9774775,DOI_VERIFIED,yes,Adaptive ECC context,DOI landing metadata and bibliography cross-checked,2026-09-10
ajayi2019,Toward an Open-Source Digital Flow: First Learnings from the OpenROAD Project,DAC 2019,10.1145/3316781.3326334,https://doi.org/10.1145/3316781.3326334,DOI_VERIFIED,yes,Open-source physical-flow context,DOI landing metadata and bibliography cross-checked,2026-09-10
shalan2020,Building OpenLANE: A 130 nm OpenROAD-Based Tapeout-Proven Flow,ICCAD 2020,10.1109/ICCAD51958.2020.9256623,https://doi.org/10.1109/ICCAD51958.2020.9256623,DOI_VERIFIED,yes,Open RTL-to-GDS flow context,DOI landing metadata and bibliography cross-checked,2026-09-10
kuehlmann1997,Equivalence Checking Using Cuts and Heaps,DAC 1997,10.1145/266021.266090,https://doi.org/10.1145/266021.266090,DOI_VERIFIED,yes,Functional transformation assurance,DOI landing metadata and bibliography cross-checked,2026-09-10
kuehlmann2002,Robust Boolean Reasoning for Equivalence Checking and Functional Property Verification,IEEE TCAD 2002,10.1109/TCAD.2002.804386,https://doi.org/10.1109/TCAD.2002.804386,DOI_VERIFIED,yes,Equivalence/property assurance,DOI landing metadata and bibliography cross-checked,2026-09-10
