analysis_id,fault_environment_id,record_id,architecture_id,observed_macro_area_um2,logical_control_sdc_fraction,logical_control_due_fraction,pareto_nondominated,result_class,selection_eligible,qualification_note
LOGICAL_CONTROL_AREA_DIAGNOSTIC,DBU_ALL_PAIRS,MP|U0|DBU_ALL_PAIRS|none,U0,201266.5968,1,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,DBU_ALL_PAIRS,MP|E0|DBU_ALL_PAIRS|none,E0,260331.5664,0,1,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,LOGICAL_CONSECUTIVE_3,MP|U0|LOGICAL_CONSECUTIVE_3|none,U0,201266.5968,1,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,LOGICAL_CONSECUTIVE_3,MP|E0|LOGICAL_CONSECUTIVE_3|none,E0,260331.5664,0.65714285714285714,0.34285714285714286,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,LOGICAL_CONSECUTIVE_4,MP|U0|LOGICAL_CONSECUTIVE_4|none,U0,201266.5968,1,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,LOGICAL_CONSECUTIVE_4,MP|E0|LOGICAL_CONSECUTIVE_4|none,E0,260331.5664,0.086956521739130432,0.91304347826086951,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,PERSISTENT_SEQUENCE_1_2_0_4,MP|U0|PERSISTENT_SEQUENCE_1_2_0_4|none,U0,201266.5968,1,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,PERSISTENT_SEQUENCE_1_2_0_4,MP|U0|PERSISTENT_SEQUENCE_1_2_0_4|scrub_on_correct,U0,201266.5968,1,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,PERSISTENT_SEQUENCE_1_2_0_4,MP|U0|PERSISTENT_SEQUENCE_1_2_0_4|periodic_2_steps,U0,201266.5968,1,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,PERSISTENT_SEQUENCE_1_2_0_4,MP|E0|PERSISTENT_SEQUENCE_1_2_0_4|none,E0,260331.5664,0.25,0.5,False,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,PERSISTENT_SEQUENCE_1_2_0_4,MP|E0|PERSISTENT_SEQUENCE_1_2_0_4|scrub_on_correct,E0,260331.5664,0,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,PERSISTENT_SEQUENCE_1_2_0_4,MP|E0|PERSISTENT_SEQUENCE_1_2_0_4|periodic_2_steps,E0,260331.5664,0.25,0.5,False,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,SBU_ALL_COORDINATES,MP|U0|SBU_ALL_COORDINATES|none,U0,201266.5968,1,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
LOGICAL_CONTROL_AREA_DIAGNOSTIC,SBU_ALL_COORDINATES,MP|E0|SBU_ALL_COORDINATES|none,E0,260331.5664,0,0,True,LOGICAL_CONTROL,False,Exact diagnostic frontier only; logical enumeration frequency is not P(f).
