implementation_id,mathematical_code_id,canonical_identity_hash,hardware_structure_id,h2_identity_group,h2_status,physical_status,technology,library,pvt_corner,rtl_elaboration,functional_verification,technology_mapping,sta_status,primary_activity_trace,primary_activity_power,conditional_single_power,conditional_double_power,placement,routing,parasitic_extraction,post_route_sta,post_route_power,repeat_run_status,mapped_codec_stdcell_area_um2,mapped_wrapper_stdcell_area_um2,mapped_total_stdcell_area_um2,postroute_stdcell_area_um2,allocated_core_area_um2,allocated_die_area_um2,critical_path_delay_ns,critical_path_limited_frequency_mhz,common_target_slack_ns,primary_internal_power_mw,primary_switching_power_mw,primary_leakage_power_mw,primary_total_power_mw,primary_energy_per_operation_pj,conditional_single_energy_per_operation_pj,conditional_double_energy_per_operation_pj,evidence_classification,config_id,primary_activity_id,toolchain_id,run_ids,raw_report_ids,blocking_reason
forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1,49dc2e5537bc0a4c1ab13f59c47c38452508d34711701d108fcf8c7c79ac50af,unproven-hardware-structure:forge-hotspot-8-4-v1-archived-table-decoder,forge-hotspot-8-4-v1,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
forge-spatial-hotspot-72-64-v1-archived-table-decoder,forge-spatial-hotspot-72-64-v1,d84b4d8d12941b3defc9279055319795c1291c48c881e4dd0fea8e7ce3de6b02,unproven-hardware-structure:forge-spatial-hotspot-72-64-v1-archived-table-decoder,forge-spatial-hotspot-72-64-v1,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,forge-sram-portfolio-72-64-v1-geometry-filtered-joint,c5d08f0f94c3570c57bfc778970fd7ee871388eabccf8c6abe0c69ecf5e42df6,unproven-hardware-structure:forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,forge-sram-portfolio-72-64-v1-geometry-filtered-joint,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,forge-sram-portfolio-72-64-v1-spatial-hotspot-joint,09ca9d26918c9cfcf90238941a39f7addce39fb2563b8187c86684c7d051e8b9,unproven-hardware-structure:forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,forge-sram-portfolio-72-64-v1-spatial-hotspot-joint,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
hsiao-generated-combinational-72-64-v1,hsiao-secded-72-64-v1,1cc658a0e86f0911d0d26def91d61c2b4dc146daaea531a5a923aabf0ca387a7,hsiao-minimum-odd-column-xor-network-v1,hsiao-secded-72-64-v1,UNTESTABLE_IDENTITY_MISMATCH,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,PASS_TWO_LOCAL_RUNS,PASS_TWO_LOCAL_RUNS_VERIFICATION_STRESS_ONLY,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE,LOCAL_FUNCTIONAL_REPEAT_ONLY_PHYSICAL_REPRODUCIBILITY_UNTESTED,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-hsiao;run-02-hsiao,raw-run-01-hsiao-verilator_build_log;raw-run-01-hsiao-functional_verification_log;raw-run-02-hsiao-verilator_build_log;raw-run-02-hsiao-functional_verification_log,BLOCKED_PINNED_ORFS_ENVIRONMENT_UNAVAILABLE
odd-column-secded-4-8-archived-table-decoder,odd-column-secded-4-8,7d9acf2646a27cf06ea471cbf59e1441b9f016e7521b04392ef331d3594183b1,unproven-hardware-structure:odd-column-secded-4-8-archived-table-decoder,odd-column-secded-4-8,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
odd-column-secded-64-72-archived-table-decoder,odd-column-secded-64-72,87ed90354ccfee0c259dc22e434bbde5eb304f19b65e5736e67ca25b39609465,unproven-hardware-structure:odd-column-secded-64-72-archived-table-decoder,odd-column-secded-64-72,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
primitive-bch-63-51-t2-v1-reference-decoder,primitive-bch-63-51-t2-v1,dc4a35db0a55a201b093e4dbb3a56afe458a1584da0449e9a618991f7516f6c1,unproven-hardware-structure:primitive-bch-63-51-t2-v1-reference-decoder,primitive-bch-63-51-t2-v1,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
safeforge-robust-72-64-mapping-v1-archived-table-decoder,safeforge-robust-72-64-mapping-v1,e35ef5501ec323bb0f5089c3701d3e6e87fa3d8f1e5f25b553eb069943c71bb0,unproven-hardware-structure:safeforge-robust-72-64-mapping-v1-archived-table-decoder,safeforge-robust-72-64-mapping-v1,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
safeforge-robust-8-4-v1-archived-table-decoder,safeforge-robust-8-4-v1,0ac2f963bef8de2c041768b64945ddab3b0b0df9eca3d2559d4be2e43d97b034,unproven-hardware-structure:safeforge-robust-8-4-v1-archived-table-decoder,safeforge-robust-8-4-v1,NO_SECOND_PROVEN_STRUCTURE_WITH_IDENTICAL_CODE_ID,BLOCKED_NO_SYNTHESIZABLE_RTL,SKY130HD_PILOT_NOT_EXECUTED,sky130_fd_sc_hd__tt_025C_1v80_NOT_ACQUIRED,TT_1.80V_25C_PENDING_LIBERTY_VALIDATION,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,BLOCKED_NO_SYNTHESIZABLE_RTL,,,,,,,,,,,,,,,,,UNRESOLVED,gate03-pilot-contract-v1,normal-clean-random-v1,gate03-local-audit-v1,run-01-bch-t2;run-02-bch-t2,,BLOCKED_NO_SYNTHESIZABLE_RTL
