claim_id,manuscript_claim,metric,value,unit,evidence_level,qualification_boundary,source_path,source_sha256,derivation,generator
C01,Four fully timing-clean matched seed pairs form the primary cohort.,primary_seed_pair_count,4,pairs,E4+E5,10 ns; both setup and hold clean; five E5 operations present,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv|campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d|f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6,"filter and inner join by architecture, clock, seed, operation",paper/iscas2027/scripts/build_artifacts.py
C02,The primary cohort contains 40 E5 records and 20 matched operation comparisons.,primary_e5_record_count,40,records,E5,ECC logic only; SRAM macro internal energy excluded,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6,4 seeds x 2 architectures x 5 operations,paper/iscas2027/scripts/build_artifacts.py
C03,Hsiao is lower energy in 4 of 20 primary comparisons.,hsiao_lower_comparison_count,4,comparisons,E5,paired final-routed activity; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6,count(energy_Hsiao - energy_SECDED < 0),paper/iscas2027/scripts/build_artifacts.py
C04a,Mean Hsiao-minus-conventional energy delta for idle.,mean_delta_idle,+0.019108014,pJ/op,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,arithmetic mean of paired per-seed energy differences,paper/iscas2027/scripts/build_artifacts.py
C04ar,Seed range and Hsiao-lower count for idle.,range_and_lower_count_idle,"[-0.028662749,+0.068116755];1/4",pJ/op;count,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,min/max paired delta; count(delta<0),paper/iscas2027/scripts/build_artifacts.py
C04b,Mean Hsiao-minus-conventional energy delta for clean read.,mean_delta_read_clean,-0.081181910,pJ/op,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,arithmetic mean of paired per-seed energy differences,paper/iscas2027/scripts/build_artifacts.py
C04br,Seed range and Hsiao-lower count for clean read.,range_and_lower_count_read_clean,"[-0.213062698,+0.111504225];3/4",pJ/op;count,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,min/max paired delta; count(delta<0),paper/iscas2027/scripts/build_artifacts.py
C04c,Mean Hsiao-minus-conventional energy delta for clean write.,mean_delta_write_clean,+0.120681918,pJ/op,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,arithmetic mean of paired per-seed energy differences,paper/iscas2027/scripts/build_artifacts.py
C04cr,Seed range and Hsiao-lower count for clean write.,range_and_lower_count_write_clean,"[+0.072962689,+0.139452487];0/4",pJ/op;count,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,min/max paired delta; count(delta<0),paper/iscas2027/scripts/build_artifacts.py
C04d,Mean Hsiao-minus-conventional energy delta for w1 correct.,mean_delta_read_single_bit_error_correct,+0.256536349,pJ/op,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,arithmetic mean of paired per-seed energy differences,paper/iscas2027/scripts/build_artifacts.py
C04dr,Seed range and Hsiao-lower count for w1 correct.,range_and_lower_count_read_single_bit_error_correct,"[+0.148294191,+0.476969851];0/4",pJ/op;count,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,min/max paired delta; count(delta<0),paper/iscas2027/scripts/build_artifacts.py
C04e,Mean Hsiao-minus-conventional energy delta for w2 detect.,mean_delta_read_double_bit_error_detect,+0.140507040,pJ/op,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,arithmetic mean of paired per-seed energy differences,paper/iscas2027/scripts/build_artifacts.py
