mathematical_code_id,implementation_id,architecture_id,n,k,r,canonical_identity_hash,exact_rtl_hashes,rtl_paths,encoder_available,decoder_available,interface_contract,latency_cycles,initiation_interval,exact_verification,synthesis_eligibility,full_flow_eligibility,exclusion_or_binding_reason,evidence_class,gate02_eligibility,gate04_status
forge-hotspot-8-4-v1,forge-hotspot-8-4-v1-archived-table-decoder,unproven-hardware-structure:forge-hotspot-8-4-v1-archived-table-decoder,8,4,4,49dc2e5537bc0a4c1ab13f59c47c38452508d34711701d108fcf8c7c79ac50af,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,not a 64-bit payload implementation and no eligible synthesizable encoder/decoder pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
forge-spatial-hotspot-72-64-v1,forge-spatial-hotspot-72-64-v1-archived-table-decoder,unproven-hardware-structure:forge-spatial-hotspot-72-64-v1-archived-table-decoder,72,64,8,d84b4d8d12941b3defc9279055319795c1291c48c881e4dd0fea8e7ce3de6b02,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,archived table decoder has no eligible synthesizable encoder/decoder pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
forge-sram-portfolio-72-64-v1-geometry-filtered-joint,forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,unproven-hardware-structure:forge-sram-portfolio-72-64-v1-geometry-filtered-joint-archived-table-decoder,72,64,8,c5d08f0f94c3570c57bfc778970fd7ee871388eabccf8c6abe0c69ecf5e42df6,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,archived table decoder has no eligible synthesizable encoder/decoder pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
forge-sram-portfolio-72-64-v1-spatial-hotspot-joint,forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,unproven-hardware-structure:forge-sram-portfolio-72-64-v1-spatial-hotspot-joint-archived-table-decoder,72,64,8,09ca9d26918c9cfcf90238941a39f7addce39fb2563b8187c86684c7d051e8b9,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,archived table decoder has no eligible synthesizable encoder/decoder pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
hsiao-secded-72-64-v1,hsiao-generated-combinational-72-64-v1,hsiao-minimum-odd-column-xor-network-v1,72,64,8,1cc658a0e86f0911d0d26def91d61c2b4dc146daaea531a5a923aabf0ca387a7,green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv=638b36ff3ab1ee31bb8e29b8d5ea064b5b36d1d7df7a3f2b96c52e305a31e036;green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv=5b232248546e1945ab5084b7f4850851bb62c6e54dc9c4fa00950e2a457590be;green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_decoder.sv=9f74648a861c0506bdd698ab53bb47f8f999eed2bdcc1f6e3c0cf548d9929bfb;scripts/gate04/rtl/gate04_boundaries.sv=7de8e8d2933cdf17740ec5ec6f45a3654d5d54d9e419ed1c628ab29ca03308f8,green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_encoder.sv;green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_syndrome.sv;green_ecc_physical_simulation/rtl/hsiao_secded_72_64/hsiao_secded_72_64_v1_decoder.sv;scripts/gate04/rtl/gate04_boundaries.sv,True,True,independent encoder/decoder; 64 useful bits; II=1,1,1,green_ecc_physical_simulation/registry/implementations/hsiao-generated-combinational-72-64-v1.json,eligible,eligible,direct exact synthesizable encoder and decoder,SIMULATED,ELIGIBLE,MANDATORY_PHYSICAL_CANDIDATE
odd-column-secded-4-8,odd-column-secded-4-8-archived-table-decoder,unproven-hardware-structure:odd-column-secded-4-8-archived-table-decoder,8,4,4,7d9acf2646a27cf06ea471cbf59e1441b9f016e7521b04392ef331d3594183b1,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,not a 64-bit payload implementation and no eligible synthesizable encoder/decoder pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
odd-column-secded-64-72,odd-column-secded-64-72-archived-table-decoder,unproven-hardware-structure:odd-column-secded-64-72-archived-table-decoder,72,64,8,87ed90354ccfee0c259dc22e434bbde5eb304f19b65e5736e67ca25b39609465,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,archived table decoder has no eligible synthesizable encoder/decoder pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
primitive-bch-63-51-t2-v1,primitive-bch-63-51-t2-v1-reference-decoder,unproven-hardware-structure:primitive-bch-63-51-t2-v1-reference-decoder,63,51,12,dc4a35db0a55a201b093e4dbb3a56afe458a1584da0449e9a618991f7516f6c1,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,not a 64-bit payload implementation and reference decoder has no eligible synthesizable RTL pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
safeforge-robust-72-64-mapping-v1,safeforge-robust-72-64-mapping-v1-archived-table-decoder,unproven-hardware-structure:safeforge-robust-72-64-mapping-v1-archived-table-decoder,72,64,8,e35ef5501ec323bb0f5089c3701d3e6e87fa3d8f1e5f25b553eb069943c71bb0,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,archived table decoder has no eligible synthesizable encoder/decoder pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
safeforge-robust-8-4-v1,safeforge-robust-8-4-v1-archived-table-decoder,unproven-hardware-structure:safeforge-robust-8-4-v1-archived-table-decoder,8,4,4,0ac2f963bef8de2c041768b64945ddab3b0b0df9eca3d2559d4be2e43d97b034,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,Gate-02 mathematical eligibility only,ineligible_physical,ineligible_physical,not a 64-bit payload implementation and no eligible synthesizable encoder/decoder pair,DERIVED,ELIGIBLE,EXCLUDED_FROM_GATE04_PHYSICAL
