claim_id,claim_text,claim_location,evidence_class,evidence_path,configuration_path,assumptions,reproducibility_status,falsification_test,gate_status,required_action
"CLM-001","The repository contains 15 mathematical codes, 17 implementations, 17 architectures, and 15 selectable implementations.","README.md:8","DERIVED","README.md:8 -> green_ecc_physical_simulation/multi_ecc_evaluation/framework_summary.json -> green_ecc_physical_simulation/registry/registry.json and per-kind JSON -> scripts/build_multi_ecc_catalogue.py","green_ecc_physical_simulation/registry/registry.json","Selectable means verification_status passed, including TAEC only in its surviving capability scope.","PARTIAL: direct file counts reproduce; isolated registry loader fails on CRLF-sensitive hash","Enumerate each manifest directory; recompute verification pass/reject set; require checkout-stable registry load.","CONDITIONAL PASS","Make content hashing checkout-stable and rerun the registry/test gate in Gate 02."
"CLM-002","The regenerated registry contains 15 codes, 17 implementations, 17 architectures, 15 selectable implementations, and a 192-scenario grid.","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:14","DERIVED","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:14 -> green_ecc_physical_simulation/multi_ecc_evaluation/framework_summary.json and software_study_summary.json -> registry JSON and scenario_selection_results.json -> scripts/build_multi_ecc_catalogue.py and scripts/run_multi_ecc_framework_evaluation.py","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Counts are registry identities, not proof of distinct physical implementations.","PARTIAL: counts independently reproduce; generated pipeline does not in isolated CRLF checkout","Delete/duplicate a manifest in a controlled test fixture and require count failure; rerun from normalized clean checkout.","CONDITIONAL PASS","Retain only with registry identity caveat and fixed hash portability."
"CLM-003","Fifteen implementations are selectable after functional verification and two remain rejected.","MULTI_ECC_FRAMEWORK_REPORT.md:5","SIMULATED","MULTI_ECC_FRAMEWORK_REPORT.md:5 -> green_ecc_physical_simulation/multi_ecc_evaluation/framework_summary.json -> multi_ecc_evaluation/verification/*.json -> green_ecc_phy/verification.py -> registry/implementations/*.json","green_ecc_physical_simulation/registry/registry.json","A process-level TAEC pass is capability-level partial and cannot imply triple correction.","PARTIAL: existing records give 15 passed/2 failed; isolated verification command is blocked","Rerun all declared universes after Gate-02 identity fix and require the same status partition.","CONDITIONAL PASS","Report TAEC as partial wherever the count appears."
"CLM-004","The study has 192 scenarios, all with a feasible analytical winner.","README.md:10","SIMULATED","README.md:10 -> green_ecc_physical_simulation/multi_ecc_evaluation/software_study_summary.json -> scenario_selection_results.json -> green_ecc_phy/study.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Feasibility uses assumed fault PMFs and analytical energy, not physical PPA; result files were not regenerated in Gate 01.","PARTIAL: 192-axis product and committed summary agree; isolated end-to-end tests fail before evaluation","Rebuild from a checkout-stable registry and require 192 unique scenario keys and explicit exclusion/no-winner records.","CONDITIONAL PASS","Call this an existing analytical-model result only."
"CLM-005","The preregistered Cartesian grid contains 192 scenarios and all have a feasible candidate.","MULTI_ECC_FRAMEWORK_REPORT.md:52","SIMULATED","MULTI_ECC_FRAMEWORK_REPORT.md:52 -> software_study_summary.json -> scenario_selection_results.json -> scripts/run_multi_ecc_framework_evaluation.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","The preregistration was materialized by the catalogue build and is not an external timestamped preregistration.","PARTIAL","Regenerate before outcomes from a fixed configuration and compare scenario IDs and preregistration hash.","CONDITIONAL PASS","Describe as repository-preregistered configuration, not independent preregistration."
"CLM-006","The documented voltage/temperature/scrub/carbon/fault/workload/requirement axes produce 192 scenarios.","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:254","DERIVED","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:254 -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Cartesian product only; PMFs and thresholds are uncalibrated.","REPRODUCIBLE: 2*2*2*2*3*2*2=192","Validate axis lengths and unique materialized cell identifiers.","PASS","Keep the arithmetic; preserve the uncalibrated-sensitivity qualifier."
"CLM-007","Scenario-aware choice is supported inside the exact-functional plus analytical-sensitivity model.","MULTI_ECC_FRAMEWORK_REPORT.md:7","DERIVED","MULTI_ECC_FRAMEWORK_REPORT.md:7 -> framework_summary.json -> software_study_summary.json, pareto_and_regret.json, uncertainty_and_sensitivity.json -> green_ecc_phy/study.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Analytical energy constants, fault PMFs, and thresholds are assumed; the current baseline is not the contracted H1 mathematical-only selector.","PARTIAL: committed outputs are internally traceable but isolated regeneration fails","Apply the frozen H1 baseline to checkout-stable, Gate-02-passing candidates and report the full paired distribution and intervals.","CONDITIONAL PASS","Do not elevate this legacy analytical result to the intended cross-layer contribution."
"CLM-008","The historical cyclic/BCH-labelled candidate has d=2, corrects 30/63 singles, and silently miscorrects 33/63.","MULTI_ECC_FRAMEWORK_REPORT.md:24","SIMULATED","MULTI_ECC_FRAMEWORK_REPORT.md:24 -> multi_ecc_evaluation/verification/cyclic-rtl-bounded-search-63-51-v1.json and registry/codes/repository-cyclic-63-51-v1.json -> green_ecc_phy/verification.py and matrix construction -> registry/implementations/cyclic-rtl-bounded-search-63-51-v1.json","green_ecc_physical_simulation/registry/implementations/cyclic-rtl-bounded-search-63-51-v1.json","Existing exact records only; Gate 01 did not extend or regenerate the proof.","PARTIAL: existing machine record is explicit; end-to-end rerun blocked","Gate 02 independently validate polynomial/matrix identity and all declared masks.","CONDITIONAL PASS","Retain as an existing negative result with scope and Gate-02 revalidation."
"CLM-009","The valid primitive BCH (63,51,t=2) has exact d=5 and corrects all 2016 masks through weight two.","MULTI_ECC_FRAMEWORK_REPORT.md:26","SIMULATED","MULTI_ECC_FRAMEWORK_REPORT.md:26 -> primitive_bch_construction_certificate.json and verification/primitive-bch-63-51-t2-v1-reference-decoder.json -> green_ecc_phy/bch.py and green_ecc_phy/verification.py -> registry/codes/primitive-bch-63-51-t2-v1.json","green_ecc_physical_simulation/registry/codes/primitive-bch-63-51-t2-v1.json","Existing exact certificate/results; Gate 01 ran only the existing targeted BCH tests (10 passed), not a new proof.","REPRODUCIBLE at targeted-reference-test level; full registry run blocked","Gate 02 recompute construction identity, distance evidence, and declared mask universe from a stable checkout.","CONDITIONAL PASS","Use only after Gate 02; distinguish from all BCH-labelled RTL."
"CLM-010","The bounded TAEC policy silently miscorrects all 62 tested adjacent triples and is only partially verified.","MULTI_ECC_FRAMEWORK_REPORT.md:40","SIMULATED","MULTI_ECC_FRAMEWORK_REPORT.md:40 -> multi_ecc_evaluation/verification/taec-rtl-bounded-72-64-v1.json -> green_ecc_phy/verification.py plus asic/rtl/taec/taec_codec.sv -> registry/implementations/taec-rtl-bounded-72-64-v1.json","green_ecc_physical_simulation/registry/implementations/taec-rtl-bounded-72-64-v1.json","Adjacent triples are the existing canonical data-coordinate universe; not a physical-cell adjacency universe.","PARTIAL: explicit existing counterexamples; isolated full framework blocked","Gate 02 reproduce the frozen universe and separately test physical mappings without changing this historical result.","CONDITIONAL PASS","Retain negative result; remove any TAEC correction guarantee."
