source_id,authors,title,year,publisher,doi,source_type,access_date,node_coverage,system_boundary,units,assumptions,usable_fields,limitations,confidence_tier,url,retrieval_status,calibration_use
SRC_IMEC_NETZERO_PUBLIC_2023,imec,Imec grants public access to virtual fab for quantifying environmental impact of IC manufacturing,2023,imec,,first-party release and methodology summary,2026-09-08,N28 onward,Public Scope 1+2 generic HVM,Climate electricity water,Same databases as private tool with fewer controls,Boundary and provenance,Not a numeric table,TIER_A_PRIMARY_HIGH,https://www.imec-int.com/en/press/imec-grants-public-access-virtual-fab-quantifying-environmental-impact-ic-manufacturing,VERIFIED_PUBLIC,BOUNDARY_AND_PROVENANCE_ONLY
SRC_IMEC_NETZERO_APP_2026,imec,imec.netzero Public virtual fab,2026,imec,,first-party interactive model,2026-09-08,Not inspectable before sign-in,Generic HVM public disclaimer,Not retrieved,Public account and terms required,Mandatory acknowledgement and access status,No authenticated values extracted,TIER_A_PRIMARY_ACCESS_LIMITED,https://netzero.imec-int.com/,PUBLIC_ACCOUNT_REQUIRED,NO_NUMERIC_CALIBRATION
SRC_IMEC_SSTS_2022,imec SSTS,The Green Transition of the IC Industry,2022,imec,,first-party vision and method paper,2026-09-08,Advanced logic normalized scenario,Gate-to-gate virtual fab,Normalized CO2e,Same technology under grid and abatement scenarios,Model structure and normalized sensitivities,No absolute wafer coefficient,TIER_A_PRIMARY_HIGH,https://www.imec-int.com/sites/default/files/2022-07/Whitepaper_SSTS_FINAL.pdf,VERIFIED_PUBLIC,NORMALIZED_VALIDATION_ONLY
SRC_IMEC_PPACE_2020,Garcia Bardon et al.,DTCO including Sustainability: Power-Performance-Area-Cost-Environmental score Analysis for Logic Technologies,2020,IEEE IEDM,10.1109/IEDM13553.2020.9372004,peer-reviewed imec conference paper,2026-09-08,28 nm through 2 nm,Historical PPACE process-flow study,Per-wafer relative trends,Historical flows and abatement factors,28-to-2 nm trend ratios,Not interchangeable with 2023 model,TIER_A_PRIMARY_HISTORICAL,https://imec-publications.be/entities/publication/6791c88e-2b5b-406a-a3ea-6de1b8122335,VERIFIED_METADATA_AND_OFFICIAL_SUMMARY,HISTORICAL_TREND_VALIDATION
SRC_IMEC_EDTM_2022,Ragnarsson et al.,The Environmental Impact of CMOS Logic Technologies,2022,IEEE EDTM,10.1109/EDTM53872.2022.9798208,peer-reviewed imec conference paper,2026-09-08,Logic CMOS scaling,PPACE-era process-flow model,Environmental impacts per process flow,PPACE-era assumptions,Historical trend,Insufficient numeric tables retrieved,TIER_A_PRIMARY_HISTORICAL,https://imec-publications.be/entities/publication/17984271-fa9a-4345-b68f-9d72c78ad0d2,VERIFIED_METADATA,QUALITATIVE_CROSS_CHECK
SRC_IMEC_IEDM_2023,Boakes et al.,Cradle-to-gate Life Cycle Assessment of CMOS Logic Technologies,2023,IEEE IEDM,10.1109/IEDM45741.2023.10413725,peer-reviewed imec conference paper,2026-09-08,N28 through A14,Cradle-to-fab-gate 300 mm generic HVM,kWh/cm2 and kgCO2e,86 percent Murphy yield and 90 percent line yield,Textual energy yield scope and CI anchors,Graph-only values not digitized,TIER_A_PRIMARY_HIGH,https://iedm23.mapyourshow.com/mys_shared/iedm23/handouts/28-1_Wed_13242.pdf,VERIFIED_PUBLIC_FULL_TEXT,EXACT_TEXTUAL_ANCHORS_AND_TREND_VALIDATION
SRC_IMEC_LITHO_2024,Gallagher et al.,Sustainable Semiconductor Manufacturing: The Role of Lithography,2024,IEEE TSM,10.1109/TSM.2024.3416830,peer-reviewed imec journal paper,2026-09-08,Advanced logic patterning,Lithography and process-flow interaction,Not used numerically,Route-level patterning,Patterning model structure,Numeric full text not used,TIER_A_PRIMARY_HIGH,https://imec-publications.be/entities/publication/8bd8c1fa-fded-4357-8ea7-34f19ccab8ba/full,VERIFIED_METADATA,MODEL_STRUCTURE_ONLY
SRC_ACT_ISCA_2022,Gupta et al.,ACT: Designing Sustainable Computer Systems with an Architectural Carbon Modeling Tool,2022,ACM/IEEE ISCA,10.1145/3470496.3527408,peer-reviewed architecture model,2026-09-08,Architecture-level logic and memory,Embodied plus operational system carbon,kgCO2e and kWh/cm2,Coefficient-based model,Independent ACT equation,Coarser than imec process model,TIER_B_PEER_REVIEWED_HIGH,https://doi.org/10.1145/3470496.3527408,VERIFIED_PRIMARY,MATCHED_ASSUMPTION_CROSS_VALIDATION
SRC_ACT3_2026,Lee et al.,Architecture Carbon Tool v3: Enabling Sustainability-aware Silicon System Design Exploration,2026,arXiv and facebookresearch/ACT,,current first-party tool,2026-09-08,Configurable system components,Full-system embodied and operational carbon,Unit-aware inputs and kgCO2e,ACT 3.0 README dated 2026-06-12,Current equation and BOM model,Preprint and defaults not adopted as calibration,TIER_B_PRIMARY_TOOL_CURRENT,https://github.com/facebookresearch/ACT,VERIFIED_PUBLIC,CURRENT_MODEL_CROSS_VALIDATION
SRC_CARBONCLARITY_2025,Chen et al.,CarbonClarity: Understanding and Addressing Uncertainty in Embodied Carbon for Sustainable Computing,2025,IEEE/ACM ICCAD,10.1109/ICCAD66269.2025.11240799,peer-reviewed uncertainty model,2026-09-08,28 to 7 nm examples,ACT-style uncertain embodied carbon,kgCO2e/cm2 distributions,KDE over public data and Poisson yield,Uncertainty axes and maturity,Not a SKY130 calibration,TIER_B_PEER_REVIEWED_HIGH,https://arxiv.org/abs/2507.01145,VERIFIED_PRIMARY_PREPRINT_AND_DOI,UNCERTAINTY_METHOD_CROSS_CHECK
