dimension,quantity,SECDED,HSIAO_SECDED,U0,BCH_78_64_T2,evidence_class,source
Reliability,SEC capability,REGRESSION_VALIDATED,REGRESSION_VALIDATED,NOT_APPLICABLE,REGRESSION_VALIDATED,functional simulation plus frozen exact code evidence,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/FUNCTIONAL_VALIDATION_SUMMARY.json
Reliability,DED capability,REGRESSION_VALIDATED,REGRESSION_VALIDATED,NOT_APPLICABLE,REGRESSION_VALIDATED,functional simulation plus frozen exact code evidence,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/FUNCTIONAL_VALIDATION_SUMMARY.json
Physical,10 ns timing feasibility,5/5 FEASIBLE,5/5 FEASIBLE,5/5 FEASIBLE,0/5 INFEASIBLE,post-route STA,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/TIMING_FEASIBILITY.json
Physical,5 ns timing feasibility,0/5 INFEASIBLE,0/5 INFEASIBLE,5/5 FEASIBLE,0/5 INFEASIBLE,inherited post-route STA; no E5,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/TIMING_FEASIBILITY.json
Physical,area/wirelength/vias/WNS,QUALIFIED_10NS,QUALIFIED_10NS,INHERITED_ONLY,INFEASIBLE_FOR_EQUAL_PERFORMANCE,matched post-route,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv
Power,E4 vectorless power,DIAGNOSTIC,DIAGNOSTIC,DIAGNOSTIC,DIAGNOSTIC_INFEASIBLE,vectorless post-route diagnostic,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv
Energy,idle ECC-logic,4 SEEDS,4 SEEDS,MISSING,MISSING,E5 logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json
Energy,clean-read ECC-logic,5 SEEDS,5 SEEDS,MISSING,MISSING,E5 logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json
Energy,clean-write ECC-logic,4 SEEDS,4 SEEDS,MISSING,MISSING,E5 logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json
Energy,correction ECC-logic,5 SEEDS,5 SEEDS,MISSING,MISSING,E5 logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json
Energy,detection ECC-logic,5 SEEDS,5 SEEDS,MISSING,MISSING,E5 logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json
Energy,SRAM macro-internal operation energy,PARTIAL/BLOCKED,PARTIAL/BLOCKED,MISSING,MISSING,not qualified,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/SRAM_MACRO_POWER_QUALIFICATION.json
Energy,whole-memory operation energy,BLOCKED,BLOCKED,BLOCKED,BLOCKED,not qualified,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/SRAM_MACRO_POWER_QUALIFICATION.json
Reliability,physical FIT/SDC/DUE,BLOCKED,BLOCKED,BLOCKED,BLOCKED,no physical evidence,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/CLAIM_EVIDENCE_MAP.md
Reliability,Qcrit,BLOCKED,BLOCKED,BLOCKED,BLOCKED,no physical evidence,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/CLAIM_EVIDENCE_MAP.md
Reliability,physical interleaver benefit,BLOCKED,BLOCKED,BLOCKED,BLOCKED,no topology/physical validation,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/BIT_MAPPING_AUDIT.json
Sustainability,operational carbon,PARAMETRIC,PARAMETRIC,MISSING_E5,MISSING_E5,requires declared N_ops and CI,GREEN_WORKLOAD_ANALYSIS.json
Sustainability,embodied/manufacturing carbon,BLOCKED,BLOCKED,BLOCKED,BLOCKED,process-specific evidence absent,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/CLAIM_EVIDENCE_MAP.md
Sustainability,absolute lifecycle carbon,BLOCKED,BLOCKED,BLOCKED,BLOCKED,not qualified,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/CLAIM_EVIDENCE_MAP.md
