source_id,organization,publication,url_or_doi,publication_date,model_tool_version,retrieved_date,original_node,original_process,original_metric,original_units,original_system_boundary,original_geography,original_grid_ci,original_yield_assumptions,evidence_kind,allowed_use,prohibited_translation,notes
SRC_IMEC_NETZERO_PUBLIC_2023,imec,Imec grants public access to virtual fab for quantifying environmental impact of IC manufacturing,https://www.imec-int.com/en/press/imec-grants-public-access-virtual-fab-quantifying-environmental-impact-ic-manufacturing,2023,,2026-09-08,logic technologies from N28 onward,generic high-volume manufacturing virtual fab; same model/process databases as private tool but fewer controls,public/private boundary; node coverage; bottom-up process-data provenance,"tool can present climate change, electricity, and water; no numeric result extracted from this page",public tool restricted to GHG Protocol Scope 1+2; private model is broader,SOURCE_SPECIFIC_OR_UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,PUBLISHED,BOUNDARY_AND_PROVENANCE_ONLY,NEVER_RELABEL_AS_SKY130_MEASUREMENT,press page is not a numeric calibration table
SRC_IMEC_NETZERO_APP_2026,imec,imec.netzero Public virtual fab,https://netzero.imec-int.com/,2026,,2026-09-08,not inspectable before account sign-in; official release states N28 onward,numeric dashboard requires a public account and acceptance of terms,mandatory acknowledgement; generic-fab disclaimer; access status,not retrieved,generic HVM; public version; disclaimer says modeled technologies are not a specific manufacturer,UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,MODELLED_OR_PROJECTED,NO_NUMERIC_CALIBRATION,NEVER_RELABEL_AS_SKY130_MEASUREMENT,no account was created and no authenticated dashboard values were extracted
SRC_IMEC_SSTS_2022,imec,The Green Transition of the IC Industry,https://www.imec-int.com/sites/default/files/2022-07/Whitepaper_SSTS_FINAL.pdf,2022,,2026-09-08,advanced logic scenario; exact node not assigned to normalized Figure 4,same advanced technology under high/low electricity mix and no/full abatement variants,model architecture; normalized abatement sensitivity; normalized electricity sensitivity,normalized CO2e; relative scenario values,"bottom-up gate-to-gate fab inventory; normalized example separates electricity, materials, and direct GHG",SOURCE_SPECIFIC_OR_UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,PUBLISHED,NORMALIZED_VALIDATION_ONLY,NEVER_RELABEL_AS_SKY130_MEASUREMENT,normalized scenarios cannot provide absolute wafer coefficients
SRC_IMEC_PPACE_2020,IEEE IEDM,DTCO including Sustainability: Power-Performance-Area-Cost-Environmental score (PPACE) Analysis for Logic Technologies,10.1109/IEDM13553.2020.9372004,2020,,2026-09-08,28 nm through 2 nm,historical process flows and historical gas utilization/abatement factors,28-to-2 nm trend ratios; historical process-complexity direction; EUV-versus-DUV qualitative mechanism,"per-wafer relative trends; electricity, UPW, GHG",historical PPACE bottom-up technology-flow study; boundary differs from 2023 cradle-to-gate model,SOURCE_SPECIFIC_OR_UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,PUBLISHED,HISTORICAL_TREND_VALIDATION,NEVER_RELABEL_AS_SKY130_MEASUREMENT,not interchangeable with updated imec.netzero v1.5.67 outputs
SRC_IMEC_EDTM_2022,IEEE EDTM,The Environmental Impact of CMOS Logic Technologies,10.1109/EDTM53872.2022.9798208,2022,,2026-09-08,logic CMOS technology scaling,inherits PPACE-era process-flow assumptions,historical trend corroboration,environmental impacts per process flow,PPACE-era environmental technology-flow model,SOURCE_SPECIFIC_OR_UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,PUBLISHED,QUALITATIVE_CROSS_CHECK,NEVER_RELABEL_AS_SKY130_MEASUREMENT,official repository exposes metadata but not sufficient numeric tables for this campaign
SRC_IMEC_IEDM_2023,IEEE IEDM,Cradle-to-gate Life Cycle Assessment of CMOS Logic Technologies,10.1109/IEDM45741.2023.10413725,2023,imec.netzero v1.5.67,2026-09-08,nine available/projected logic nodes from N28 through A14,10x10 mm2 functional die; 86% Murphy die yield; 90% line yield; 17% facility share; 0.454 kgCO2e/kWh industry-average grid; IPCC 2019 Tier 2c abatement; imec.netzero v1.5.67,1.64 kWh/cm2 N28 grid-CI sensitivity; approximately 4.30 kWh/cm2 A14 grid-CI sensitivity; 0.15 defects/cm2; scope shares; boundary; EUV process-elimination behavior,"kWh/cm2, kWh/300 mm wafer equivalent, kgCO2e/wafer, kgCO2e/cm2, kgCO2e/die","cradle-to-fab-gate; 300 mm generic HVM; excludes test, dicing, package, tools/infrastructure, fab waste treatment, and portions of Scope 3",UNDECLARED,0.454 kgCO2e/kWh,86% Murphy die yield; 90% line yield,PUBLISHED,EXACT_TEXTUAL_ANCHORS_AND_TREND_VALIDATION,NEVER_RELABEL_AS_SKY130_MEASUREMENT,graph-only absolute node values are not digitized into calibration; projected nodes are not measurements; public Scope 3 is incomplete
SRC_IMEC_LITHO_2024,IEEE Transactions on Semiconductor Manufacturing,Sustainable Semiconductor Manufacturing: The Role of Lithography,10.1109/TSM.2024.3416830,2024,,2026-09-08,advanced logic patterning,patterning must be evaluated at route/process-flow level,patterning model structure; qualitative cross-check,not used numerically in this campaign,lithography contribution and process-flow interactions,SOURCE_SPECIFIC_OR_UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,PUBLISHED,MODEL_STRUCTURE_ONLY,NEVER_RELABEL_AS_SKY130_MEASUREMENT,metadata was public; numeric full text was not used
SRC_ACT_ISCA_2022,ACM/IEEE ISCA,ACT: Designing Sustainable Computer Systems with an Architectural Carbon Modeling Tool,10.1145/3470496.3527408,2022,,2026-09-08,architecture-level logic and memory coefficients,coefficient-based architecture model,independent ACT equation; system-carbon structure,kgCO2e; kgCO2e/cm2; kWh/cm2,"embodied plus operational system carbon; logic equation separates fab electricity, gas/chemicals, materials, area, and yield",SOURCE_SPECIFIC_OR_UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,MODELLED_OR_PROJECTED,MATCHED_ASSUMPTION_CROSS_VALIDATION,BOUNDARY_MATCH_REQUIRED_FOR_NUMERIC_TRANSFER,coarser than process-step imec model; default coefficients must not be mixed with mismatched boundaries
SRC_ACT3_2026,arXiv and facebookresearch/ACT,Architecture Carbon Tool v3: Enabling Sustainability-aware Silicon System Design Exploration,https://github.com/facebookresearch/ACT,2026,,2026-09-08,"configurable logic, DRAM, storage, packages, materials and passives",ACT 3.0 README dated 2026-06-12; Python 3.12+; BOM-driven model,current ACT equation; BOM/schema comparison; ACT-versus-ACT3 evolution,unit-aware inputs; kgCO2e outputs,configurable full-system embodied and operational carbon,SOURCE_SPECIFIC_OR_UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,MODELLED_OR_PROJECTED,CURRENT_MODEL_CROSS_VALIDATION,BOUNDARY_MATCH_REQUIRED_FOR_NUMERIC_TRANSFER,technical brief is a 2026 preprint; repository defaults are not adopted as GREEN calibration
SRC_CARBONCLARITY_2025,IEEE/ACM ICCAD,CarbonClarity: Understanding and Addressing Uncertainty in Embodied Carbon for Sustainable Computing,10.1109/ICCAD66269.2025.11240799,2025,,2026-09-08,"28, 16, 10, and 7 nm examples; maturity analysis also uses 5 nm defect data",Gaussian-kernel KDE over sparse public evidence; Poisson yield from time-varying defect density,uncertainty dimensions; KDE method; mean/P95 reporting; maturity treatment; sensitivity workflow,kgCO2e/cm2 distributions and system kgCO2e,"ACT-style embodied carbon with uncertainty in yield, fab CI, EPA, and GPA; operational CI can also be distributed",SOURCE_SPECIFIC_OR_UNDECLARED,UNDECLARED_OR_NOT_APPLICABLE,SOURCE_SPECIFIC_OR_UNDECLARED,MODELLED_OR_PROJECTED,UNCERTAINTY_METHOD_CROSS_CHECK,BOUNDARY_MATCH_REQUIRED_FOR_NUMERIC_TRANSFER,published distributions are not a substitute for missing SKY130 or imec node inventories
