paper_item,claim_or_figure,ledger_ids,required_raw_data,producer,configuration,validation,fairness_controls,required_evidence_class,acceptance_criterion,blocking_gap,gate_status
"Abstract/result 1","H1 restricted-selection regret relative to full cross-layer exhaustive DSE","CLM-007;CLM-015;CLM-016","One row per complete candidate-scenario tuple; restricted and full feasibility; selected tuple; all objectives; exclusion codes; physical reports; tuple/config hashes","Frozen exhaustive-DSE runner plus independent regret-audit script; current green_ecc_phy/study.py is only a legacy precursor","EXPERIMENT_CONTRACT.md mapping manifest; full tuple registry; scenario manifest; seed manifest","Independent candidate-count/enumeration audit; paired BCa bootstrap; equation unit test; exact feasibility-disagreement and Jaccard recomputation","Equal useful capacity; same technology/library/PVT/timing/activity/workload/memory/fault context; complete codec/storage/controller/scrub accounting","SYNTHESIZED;SIMULATED;DERIVED","Complete preregistered distribution; no missing eligible tuples; equation matches contract; CI and practical-effect rule reported; result survives independent recomputation","No complete cross-layer tuple registry; no physical data; canonical mapping not yet machine-frozen; current regret uses a different baseline/equation","NOT IMPLEMENTED"
"Abstract/result 2","H2 same-code implementation dependence in PPA and Pareto region","CLM-003;CLM-012;CLM-013","RTL/netlists; synthesis/P&R/timing/power reports; SRAM macro data; activity traces; constraints; tool/library/corner manifests for at least two same-code implementations and five seeds","Identified RTL-to-GDS or justified characterized flow with report parser","Common technology/library/PVT/SDC/activity/workload/memory configuration; seeds 1723,2718,31415,57721,65537","Raw-report hash check; timing-clean check; paired-seed effect analysis; null reporting; independent Pareto membership","Same mathematical code and encoder matrix; identical physical conditions and full boundary accounting","SYNTHESIZED","All five paired seeds complete; raw reports parse without imputation; uncertainty/effect size reported; distinguishability or null conclusion supported","All physical metrics are null; no PDK/library/SDC/activity/SRAM macro; only one conventional implementation is canonical","NOT IMPLEMENTED"
"Abstract/result 3","H3 cross-layer interaction of mapping/interleaving/scrub/workload/fault locality","CLM-026;CLM-027;CLM-028;CLM-032","Physical bit-to-cell maps; interleaver configurations; calibrated or explicitly conditional fault traces/PMFs; scrub event traces; workload traces; per-cell decoder outcomes; residual SDC/DUE","Fault-injection/scrub simulator with frozen factorial analysis script","Factor registry and full Cartesian cells; random seed list; stopping rule; interaction contrast specification","Difference-in-differences; factorial interaction terms; BH FDR 5%; conservation/unit tests from raw fault to SDC/DUE","Identical code/implementation and physical context within contrasts; no post-outcome exclusions","SIMULATED;MEASURED;DERIVED","Every preregistered cell complete or exclusion-listed; interaction definition fixed; effects/CI/multiplicity and nulls reported","Only logical consecutive-coordinate adjacency; PMFs uncalibrated; no physical mapping/interleaving factor; no complete accumulation trace","NOT IMPLEMENTED"
"Abstract/result 4","H4 carbon non-redundancy or declared null/removal","CLM-019;CLM-020;CLM-021;CLM-022","Time/location carbon-intensity trace aligned to candidate execution; candidate energy traces; or candidate-dependent embodied-carbon inputs, area, allocation, yield, lifetime, end-of-life and uncertainty","Carbon accounting script with exact rank/Pareto comparison against energy-only selector","Frozen trace source/location/timezone; embodied-carbon source and allocation manifest","Equation/unit audit; energy-vs-carbon rank equality test; independent Pareto comparison; uncertainty analysis","Same functional workload and lifetime; full incremental logic plus memory allocation","MEASURED;SYNTHESIZED;DERIVED","At least one reproducible ranking/Pareto change for non-redundancy; otherwise carbon is declared redundant and removed","Current CI is a positive scalar shared across candidates in each scenario; embodied carbon absent; 19% has no provenance","FAIL"
"Table 1","Authoritative code and implementation catalogue","CLM-001;CLM-002;CLM-003;CLM-008;CLM-009;CLM-010;CLM-011","All code/implementation/architecture manifests; matrices/polynomials/tables; source hashes; verification records; unregistered artifact inventory","Registry loader and independent inventory/cross-reference validator","Frozen registry; Gate-02 evidence manifests","Schema/hash/reference validation; identity/equivalence audit; declared-universe verification; duplicate/wrapper classification","Separate math from implementation; rate/capacity normalization; rejected rows remain visible","SIMULATED;DERIVED","Counts and identities agree across independent inventory and valid loader; every candidate has a Gate-02 status and immutable evidence chain","Raw-byte hashes fail after LF-to-CRLF checkout; positive correctness still needs Gate 02","CONDITIONAL PASS"
"Table 2","Correction/detection/miscorrection scope by implementation","CLM-008;CLM-009;CLM-010;CLM-011","Per-mask outcome records; tested payloads; universe hashes; RTL/reference differential outputs; matrix/polynomial certificates","Gate-02 verifier and independent oracle/differential harness","One manifest per implementation defining exact masks, payload argument, decoder policy, seeds if sampled","Independent recomputation; mutation/negative controls; exact count reconciliation; CI only for sampled proportions","Same logical/physical coordinate definition; no family-level guarantee substitution","SIMULATED","All intended candidates pass declared universes; counterexamples and unsupported domains retained; no silent promotion","Current isolated registry load prevents clean rerun; unregistered generated families lack certified identity","NOT ASSESSABLE"
"Figure 1","Cross-layer design-space and evidence-flow diagram","CLM-012;CLM-026;CLM-028;CLM-029;CLM-032","Machine-readable tuple schema and provenance DAG from fault input to final objective","Diagram generated from frozen tuple/provenance schema, not manually inferred","Tuple registry and evidence-schema version","Every node/edge resolves to source/config/raw output; missing links render explicitly as gaps","Diagram uses identical boundaries as experiments and distinguishes logical from physical mapping","DERIVED","All labels resolve to repository/data artifacts and evidence class; no implemented-looking placeholder","Mapping, interleaving, physical characterization, and transition producers are absent","NOT IMPLEMENTED"
"Figure 2","H1 regret distribution plus feasibility and Pareto disagreement","CLM-007;CLM-016","Per-scenario paired restricted/full selections and energies; feasibility; Pareto sets; exclusion reasons; bootstrap resamples/seed","Frozen H1 analysis and plotting scripts","Contract equation; canonical mapping; scenario/seed manifests","Independent statistic recomputation; CI coverage tests; data-to-figure hash linkage","Only fair jointly evidenced scenarios enter primary endpoint; exclusions remain visible","SYNTHESIZED;SIMULATED;DERIVED","Distribution, effect size, BCa 95% CI, feasibility-disagreement rate, and Jaccard disagreement all displayed; no cherry-picking","No contracted H1 data; legacy mean regrets are analytical and use a different procedure","NOT IMPLEMENTED"
"Figure 3","Same-code implementation PPA distributions/Pareto membership","CLM-012;CLM-013","Five paired physical seeds per implementation; raw area/timing/power/energy and SRAM reports","Physical-flow orchestration and report parser","Common PDK/library/corner/SDC/activity/workload/memory/seed configuration","Paired effect/CI audit; timing closure; outlier and failed-run policy; null reporting","Same mathematical code and all non-implementation variables identical","SYNTHESIZED","All candidate-seed cells complete and comparable; uncertainty shown; no proxy substituted","No physical flow or non-null PPA records","NOT IMPLEMENTED"
"Figure 4","Mapping/interleaving/scrub/workload/fault interaction effects","CLM-026;CLM-027;CLM-028","Factor-cell residual SDC/DUE/objective records and raw fault/decoder/scrub traces","Cross-layer simulator and preregistered interaction-analysis script","Factorial configuration; PMF/trace version; physical map; seed and stopping manifests","Difference-in-differences and factorial model; BH 5%; residual/model diagnostics","Paired/common fault streams where valid; same implementation/PVT/capacity","SIMULATED;MEASURED;DERIVED","Effects and nulls shown with intervals; all exclusions fixed before outcomes","No physical mapping/interleaving and no calibrated fault input","NOT IMPLEMENTED"
"Figure 5","Carbon-vs-energy decision comparison","CLM-019;CLM-020;CLM-021","Candidate energy/time traces; carbon-intensity trace; embodied inputs; energy-only and carbon-aware rankings/frontiers","Carbon analysis and independent rank/Pareto checker","Time/location and embodied-carbon manifests","Exact rank equality/difference; uncertainty propagation; source/license validation","Same workload, service, lifetime, and allocation boundary","MEASURED;SYNTHESIZED;DERIVED","Decision change exists and is reproducible, or figure becomes a transparent redundancy/null result","Current operational carbon is monotone energy scaling; embodied values unresolved","FAIL"
"Figure 6 or negative-results panel","Existing cyclic, SEC-DAEC and TAEC counterexamples","CLM-008;CLM-010;CLM-011","Existing per-mask outcome records plus Gate-02 regenerated validation outputs","Gate-02 verification/audit script","Frozen code/implementation/universe manifests","Exact count and universe-hash reconciliation; RTL/reference equivalence","Coordinate scope stated; no physical-locality generalization","SIMULATED","Existing counterexamples independently reproduce and are reported without extending proof claims in Gate 01","Clean rerun blocked by checkout-sensitive source hash","NOT ASSESSABLE"
"Methods","Exhaustive enumeration and Pareto correctness","CLM-029;CLM-030;CLM-031","Complete tuple list; feasibility decisions; objective vectors; dominance pairs; frontier IDs; tie-break records","Exhaustive enumerator plus independent brute-force Pareto oracle","Full tuple registry; zero epsilon unless preregistered; objective directions/units","Count all tuples; property tests; exact oracle comparison; deterministic replay","Common evidence and units; null objectives exclude candidates rather than impute","DERIVED;SIMULATED","Exact enumeration completes within recorded resource bound; oracle frontiers match; deterministic replay; NSGA-II absent unless infeasibility criterion met","Current enumeration covers only implementation/scenario records, not full cross-layer tuples; docs check stale","CONDITIONAL PASS"
"Methods","Absolute reliability/FIT conversion","CLM-026;CLM-027;CLM-028","Raw flux/fault arrivals; Qcrit/device data; spatial/temporal model; mapping; decoder outcomes; scrub accumulation; exposure and unit-conversion records","Calibrated reliability simulator with stage-by-stage ledger","Device/process/environment/mapping/scrub/workload configuration","Dimensional/unit tests; conservation checks; calibration/holdout validation; CI/convergence audit","Same physical geometry, interleaving, capacity, time basis, and environmental exposure","MEASURED;SIMULATED;DERIVED","Every stage traceable and calibrated with uncertainty; SDC and DUE separate; absolute claim passes holdout validation","Qcrit and PMFs are unverified/assumed; logical adjacency; no complete system conversion evidence","FAIL"
"Methods","Reproducibility and environment","CLM-033;CLM-034","Container/tool lock; command logs; hashes; clean checkout status; raw reports; generated-output comparison","One-command reproduction driver in frozen environment","Commit, submodules, OS/container digest, interpreters, packages, EDA tools/licenses, locale/line-ending policy","Fresh-clone CI on supported platforms; no stale outputs; all command manifests verified","Identical inputs/tool versions; failures never repaired silently","DERIVED","Registry, tests, documentation, and required smoke flows pass from fresh normalized checkout; all artifacts hash-link","python/python3 mismatch; wrong libstdc++ resolution; unreadable Verilator; bash absent; CRLF hash failure; stale docs outputs","FAIL"
"Discussion/limitations","No current physical, measured, silicon, radiation, runtime-adaptation, 27%/19%, or 189-scenario claim","CLM-012;CLM-013;CLM-021;CLM-022;CLM-023;CLM-024;CLM-025;CLM-032;CLM-035","Negative evidence inventory and unresolved ledger links","Claims-ledger validator","Gate-01 audit artifacts","Search-to-ledger reconciliation; prohibited-claim text scan; reviewer-style provenance audit","N/A; limitations must preserve evidence boundaries","UNRESOLVED","Every prohibited claim absent from abstract/results/conclusion except as an explicit limitation; no broken chain marked supported","Historical claims and suggestive labels remain in repository archives/source names and require careful manuscript exclusion","PASS"
